fecha;entrada_kg;entrada_litros;entrada_grasa_g_l;entrada_prot_g_l;cuba_fab_litros;cuba_fab_grasa_g_l;cuba_fab_prot_g_l;stock_cierre_litros;queso_kg;queso_est_pct;queso_mg_pct
04/11/2024;5441,0;5283,0;43,65;35,74;5032,0;41,01;33,7;5347,0;594,58;55,55;27,44
05/11/2024;5155,0;5005,0;43,81;37,09;5022,0;41,74;34,27;5352,0;577,54;56,18;27,19
06/11/2024;5324,0;5169,0;39,21;34,38;5020,0;39,6;33,78;5521,0;585,79;56,04;27,77
07/11/2024;4801,0;4661,0;44,08;37,02;5017,0;40,74;34,42;5182,0;580,03;55,87;27,77
08/11/2024;;;;;5209,0;40,82;34,38;;607,15;55,24;27,79
09/11/2024;;;;;;;;;;;
10/11/2024;4867,0;4725,0;42,17;36,48;;;;4725,0;;;
11/11/2024;5035,0;4888,0;41,29;35,73;5019,0;40,18;34,95;4613,0;580,32;54,72;28,54
12/11/2024;5129,0;4980,0;43,32;35,01;5021,0;40,8;34,0;4593,0;582,88;52,61;27,53
13/11/2024;5092,0;4944,0;44,56;36,38;5019,0;41,71;34,45;4537,0;590,52;55,44;28,91
14/11/2024;4824,0;4683,0;42,36;36,52;5024,0;41,29;34,36;4220,0;583,46;55,72;28,37
15/11/2024;;;;;4239,0;40,71;35,02;;503,01;53,17;26,72
16/11/2024;;;;;;;;;;;
17/11/2024;5012,0;4866,0;41,82;35,86;;;;4866,0;;;
18/11/2024;5210,0;5058,0;40,94;35,08;5020,0;39,87;33,89;4924,0;583,74;54,67;28,22
19/11/2024;5120,0;4971,0;43,89;37,22;5027,0;40,49;34,78;4895,0;567,0;53,56;27,07
20/11/2024;5421,0;5263,0;44,69;36,07;5015,0;41,88;34,37;5158,0;579,64;56,14;26,95
21/11/2024;5240,0;5087,0;44,51;35,61;5020,0;42,27;34,32;5245,0;597,01;55,65;27,11
22/11/2024;;;;;5267,0;42,24;34,28;;627,56;54,48;29,56
23/11/2024;;;;;;;;;;;
24/11/2024;5367,0;5211,0;41,95;34,96;;;;5211,0;;;
25/11/2024;5735,0;5568,0;41,68;35,36;5019,0;39,84;33,79;5779,0;593,97;53,94;27,72
26/11/2024;4995,0;4850,0;42,11;37,25;5028,0;39,99;34,61;5629,0;610,9;56,65;28,68
27/11/2024;4620,0;4485,0;40,9;36,65;5028,0;39,83;34,84;5114,0;596,7;54,15;28,34
28/11/2024;5453,0;5294,0;41,29;35,76;5020,0;39,7;34,67;5408,0;602,47;54,49;27,81
29/11/2024;;;;;5438,0;39,83;34,48;;649,34;54,61;28,28
30/11/2024;;;;;;;;;;;
01/12/2024;5366,0;5210,0;43,58;36,31;;;;5210,0;;;
02/12/2024;5425,0;5267,0;44,03;34,75;5031,0;41,4;33,65;5477,0;612,77;54,95;27,72
03/12/2024;4664,0;4528,0;40,87;36,03;5019,0;40,48;34,12;5005,0;579,88;54,86;28,23
04/12/2024;5136,0;4986,0;38,78;37,74;5022,0;38,91;35,05;4991,0;587,58;54,95;27,99
05/12/2024;4746,0;4608,0;42,31;36,07;5028,0;39,28;34,84;4599,0;576,31;53,59;29,69
06/12/2024;;;;;4614,0;39,56;35,04;;546,35;56,27;27,65
07/12/2024;;;;;;;;;;;
08/12/2024;4998,0;4852,0;41,88;35,71;;;;4852,0;;;
09/12/2024;4733,0;4595,0;42,94;35,61;5034,0;40,22;34,15;4447,0;587,65;53,42;27,52
10/12/2024;5490,0;5330,0;43,71;35,87;5019,0;41,16;34,14;4777,0;568,95;54,74;29,35
11/12/2024;5343,0;5187,0;39,63;34,98;5034,0;39,12;33,53;4964,0;606,25;56,85;28,52
12/12/2024;5308,0;5153,0;40,89;35,17;5020,0;39,03;33,59;5117,0;579,39;55,93;29,74
13/12/2024;;;;;5139,0;39,02;33,74;;585,39;53,66;28,53
14/12/2024;;;;;;;;;;;
15/12/2024;4947,0;4803,0;41,28;36,61;;;;4803,0;;;
16/12/2024;4579,0;4446,0;41,37;34,08;5028,0;39,3;33,66;4249,0;587,56;55,41;27,67
17/12/2024;4795,0;4655,0;45,09;35,47;5022,0;41,21;34,16;3904,0;584,96;56,02;28,24
18/12/2024;4949,0;4805,0;44,05;37,3;5017,0;42,25;34,54;3709,0;606,07;54,88;28,86
19/12/2024;5644,0;5480,0;40,6;37,44;5018,0;40,23;35,34;4189,0;582,67;54,29;26,94
20/12/2024;;;;;4205,0;40,06;35,52;;461,17;55,44;27,65
21/12/2024;;;;;;;;;;;
22/12/2024;5003,0;4857,0;40,43;35,1;;;;4857,0;;;
23/12/2024;5018,0;4872,0;41,4;37,14;5024,0;38,97;34,38;4729,0;587,84;55,77;29,93
24/12/2024;5366,0;5210,0;44,7;34,91;5028,0;40,95;33,94;4939,0;598,68;55,01;27,66
25/12/2024;4672,0;4536,0;43,14;33,86;5021,0;40,98;33,11;4475,0;587,61;57,63;28,58
26/12/2024;4981,0;4836,0;41,51;35,69;5020,0;40,74;33,83;4311,0;582,48;55,15;28,83
27/12/2024;;;;;4333,0;40,62;33,71;;513,26;54,65;27,38
28/12/2024;;;;;;;;;;;
